station_id,station_name,lat,long,capacity,elevation
2346,Gamle Bergen,60.41830822,5.309946203,19,21
2338,Bontelabo,60.40175764,5.316562301,7,0
2336,Møllestranden,60.3800444,5.350823587,14,19
2322,Høyteknologisenteret,60.38174959,5.331698655,25,19
2321,Damsgårdsveien 125,60.3842265,5.311487114,19,0
2314,Kalfarveien 31,60.38824222,5.34094713,13,40
2313,Solheimsviken,60.37708169,5.335575459,19,17
1900,Tonningneset,60.37957606,5.344655017,19,20
1899,Camilla Colletts gate,60.37214139,5.346568013,13,40
1898,Kronstad,60.37205064,5.35265997,25,37
1897,NHH,60.42334343,5.303070676,20,47
1896,Takhagen på Nordnes,60.39886453,5.306410871,20,4
1894,Kong Oscars gate,60.39332325,5.330654155,26,19
1893,Haukelandshallen,60.37049378,5.35384649,19,35
1892,Neumanns gate II,60.39097915,5.320656172,17,9
1891,Rosenbergsgaten,60.38904688,5.321882968,19,16
1890,Christian Michelsens institutt,60.38971029,5.314041873,16,8
1889,Nordnes Sjøbad,60.39923081,5.302344559,19,1
1888,Bergen Jernbanestasjon II,60.39066509,5.33302717,13,23
1816,Hansaparken,60.38604412,5.34925389,19,50
1048,Øvre Korskirkeallmenning,60.39509949,5.328645087,22,16
1047,Welhavens gate 64,60.38445115,5.324440726,19,20
1046,Ole Vigs gate,60.38592288,5.321431718,19,20
1045,Damsgårdsveien 2,60.37802199,5.329383048,16,19
1044,Geofysen,60.38429377,5.330450846,19,20
1043,Comfort Hotel Bergen,60.39622446,5.315384704,19,7
819,Thormøhlens gate,60.38316244,5.324053067,26,18
818,Vågsallmenningen,60.39368955,5.326580697,16,8
817,Nedre Korskirkeallmenning,60.39454985,5.327049982,25,7
816,Østre Murallmenningen nedre,60.39514386,5.320002322,19,1
815,Gågaten,60.39507011,5.318798351,10,1
814,Nykirken,60.39694922,5.313494728,16,2
812,Hans Hauges gate,60.40190553,5.324747768,13,53
811,Amalie Skrams vei Nord,60.41092918,5.32466277,13,45
810,Amalie Skrams vei Sør,60.40809699,5.325510899,25,50
809,Skutevikstorget,60.40222877,5.320744724,16,3
808,Damsgårdsveien 71,60.38026271,5.323223147,12,19
807,Dreggsallmenningen Nord,60.39865649,5.322142586,16,13
806,Dreggsallmenningen Sør,60.39770903,5.322000578,34,5
804,Kode 2,60.39017406,5.324792208,19,9
803,Kode 1,60.39064275,5.32439743,16,7
802,Håkonsgaten,60.39118461,5.318026298,19,9
800,Magnus Lagabøtes Plass,60.38972226,5.31485419,10,10
799,HF-Bygget,60.38785371,5.318712852,19,20
798,H.M. Pinnsvinet,60.38808211,5.320712071,16,19
797,John Lunds plass,60.38824732,5.324558212,19,16
796,Strømgaten,60.38658238,5.326041074,10,20
795,Fosswinckels gate,60.38658167,5.327978745,10,17
794,St. Jakobs Plass,60.3866815,5.330978077,22,16
793,Zander Kaaes gate,60.39010872,5.335387434,10,29
792,Busstasjonen 2 Vest,60.38828383,5.33287268,10,15
791,Busstasjonen 4 Sør,60.38705879,5.335633912,13,19
790,Busstasjonen 3  Øst,60.38785634,5.33445922,13,19
789,Busstasjonen 1 Nord,60.38890978,5.33381712,24,19
788,Danmarksplass,60.37608299,5.339851409,31,19
646,Bjørnsonsgate,60.37398594,5.342082137,19,20
645,Odontologen,60.38103777,5.359051895,16,52
644,Solheimsgaten (ved Extra),60.37514055,5.338517421,19,19
642,Bøhmergaten,60.3762528,5.334276105,16,20
641,Krohnviken,60.37810721,5.33102077,19,18
640,Damsgårdsveien,60.3815115,5.319435364,16,19
639,Frydenbø Marina,60.38446734,5.310007718,19,1
638,Damsgårdsallmenningen,60.38670915,5.299130113,10,0
368,Festplassen,60.39112396,5.325713786,25,7
367,Haraldsplass,60.37911124,5.361202284,12,41
301,Lars Hilles,60.38811789,5.331487236,16,14
298,Østre Murallmenningen øvre,60.39397678,5.318713236,19,3
223,Rådhuset,60.39148439,5.328519198,19,9
222,Sandviken Brygge,60.41294568,5.320870309,19,28
221,Sandvikstorget,60.4085821,5.322648583,19,14
220,Møllendalsplass,60.37968577,5.35199363,16,20
219,Jonsvollkvartalet,60.39267684,5.317308285,19,5
217,Nykirkekaien,60.39705739,5.314548482,10,1
216,Johanneskirken,60.38853002,5.318665231,13,20
215,Nonneseterplass,60.38967202,5.333605085,37,19
214,Nygårdsporten,60.38393438,5.333450455,28,20
212,Klosteret,60.39513794,5.31494663,10,15
157,Florida Bybanestopp,60.38225475,5.33233247,25,20
156,Allehelgens plass,60.39265146,5.328976912,26,14
151,Småstrandgaten,60.39309812,5.327022725,25,8
150,Torget,60.39587809,5.325283812,25,4
140,Sandviksbodene,60.40569502,5.323373526,10,18
138,C. Sundts gate,60.39947506,5.308762204,25,0
70,Laksevåg senter,60.38963216,5.286516471,19,12
98,Brann Stadion,60.36742545,5.355191063,19,32
69,Laksevåg v/Kirkebukten,60.38606878,5.300108307,25,0
83,Bergen jernbanestasjon,60.39041411,5.332650454,16,18
36,Torgallmenningen,60.39291769,5.323669093,24,1
82,Den Nationale Scene,60.39245536,5.320185176,10,4
24,Studentboligene,60.37831674,5.350897459,31,19
131,Gulating,60.3919836,5.326618195,13,6
87,AdO arena,60.38543124,5.33743178,19,20
132,Nøstetorget,60.39222476,5.314881116,36,4
22,Skur 11,60.39638423,5.324169338,30,8
8,Haukeland sykehus,60.37363792,5.356594562,19,55
33,Høgskulen på Vestlandet,60.36917984,5.349443793,25,20
49,Studentsenteret UiB,60.38719802,5.322980046,30,20
3,Grieghallen,60.38819667,5.328564137,16,13
34,Cornerteateret,60.3824695,5.326093489,25,18
7,Neumanns gate,60.39138581,5.319194867,31,6
116,Lysverket,60.38962622,5.32986374,34,11
75,Akvariet,60.39987652,5.304686308,18,0
5,Moxy Hotellet,60.37878279,5.333327487,11,18
117,Verftet,60.395877,5.307755828,19,13
58,Tårnplass,60.39375532,5.321792096,25,1